gh	ak	Latn	39.0	0
gh	en	Latn	36.0	1
gh	ee	Latn	11.0	0
gh	gaa	Latn	2.8	0
gi	en	Latn	80.0	1
gl	kl	Latn	84.0	1
gm	en	Latn	40.0	1
gn	fr	Latn	29.0	1
gp	fr	Latn	90.0	1
gq	es	Latn	87.0	1
gq	fr	Latn	8.8	1
gr	el	Grek	99.0	1
gt	es	Latn	93.0	1
gt	quc	Latn	7.0	0
gu	en	Latn	38.0	1
gu	ch	Latn	22.0	1
gw	pt	Latn	100.0	1
gy	en	Latn	100.0	1
hk	zh	Hans,Hant	100.0	1
hk	en	Latn	51.0	1
hn	es	Latn	78.0	1
hr	hr	Latn	99.0	1
hr	it	Latn	1.6	0
ht	ht	Latn	81.0	1
ht	fr	Latn	4.7	1
hu	hu	Latn	100.0	1
ic	es	Latn	98.0	1
id	id	Latn	64.0	1
ie	en	Latn	94.0	1
ie	ga	Latn	11.0	1
il	he	Hebr	100.0	1
il	ar	Arab	20.0	1
im	en	Latn	100.0	1
im	gv	Latn	1.9	1
in	hi	Deva	41.0	1
in	en	Latn	11.0	1
in	bn	Beng	8.1	0
in	te	Telu	7.2	0
in	mr	Modi	7.0	0
in	ta	Taml	5.9	0
in	ur	Arab	5.0	0
in	gu	Gujr	4.5	0
in	kn	Knda	3.7	0
in	ml	Mlym	3.2	0
in	or	Orya	3.2	0
in	pa	Arab,Guru	2.8	0
in	as	Beng	1.3	0
in	mai	Tirh	1.2	0
in	ne	Deva	0.56	0
in	sat	Beng,Deva,Olck,Orya	0.55	0
in	ks	Arab,Deva	0.41	0
in	kok	Deva	0.37	0
in	sd	Khoj,Sind	0.286	0
in	kha	Beng	0.08	0
in	sa	Deva,Gran,Shrd,Sidd,Sinh	0.0012	0
io	en	Latn	100.0	1
iq	ar	Arab	68.0	1
iq	ckb	Arab	20.0	0
ir	fa	Arab	75.0	1
is	is	Latn	100.0	1
it	it	Latn	95.0	1
it	fr	Dupl	6.3	0
je	en	Latn	95.0	1
jm	en	Latn	98.0	1
jo	ar	Arab	100.0	1
jp	ja	Jpan	95.0	1
ke	en	Latn	85.0	1
ke	sw	Latn	66.0	1
kg	ky	Arab,Cyrl,Latn	48.0	1
kg	ru	Cyrl	36.0	1
kh	km	Khmr	89.0	1
ki	en	Latn	100.0	1
ki	gil	Latn	60.0	1
km	ar	Arab	66.0	1
km	fr	Latn	56.0	1
km	zdj	Arab	37.0	1
kn	en	Latn	98.0	1
kp	ko	Kore	88.0	1
kr	ko	Kore	100.0	1
kw	ar	Arab	100.0	1
ky	en	Latn	98.0	1
kz	ru	Cyrl	72.0	1
kz	kk	Arab,Cyrl	64.0	1
la	lo	Laoo	69.0	1
lb	ar	Arab	86.0	1
lc	en	Latn	90.0	1
li	de	Latn	100.0	1
li	gsw	Latn	85.0	1
lk	si	Sinh	68.0	1
lk	ta	Taml	15.0	1
lr	en	Latn	20.0	1
ls	st	Latn	98.0	1
ls	en	Latn	2.3	1
lt	lt	Latn	86.0	1
lu	fr	Latn	87.0	1
lu	lb	Latn	67.0	1
lu	de	Latn	63.0	1
lv	lv	Latn	61.0	1
ly	ar	Arab	74.0	1
ma	ar	Arab	62.0	1
ma	fr	Latn	20.0	1
ma	tzm	Latn,Tfng	9.8	1
mc	fr	Latn	99.0	1
md	ro	Latn	63.0	1
me	sr	Cyrl,Latn	100.0	1
mf	fr	Latn	100.0	1
mg	mg	Latn	90.0	1
mg	fr	Latn	69.0	1
mg	en	Latn	5.0	1
mh	en	Latn	93.0	1
mh	mh	Latn	73.0	1
mk	mk	Cyrl	67.0	1
mk	sq	Elba	25.0	0
ml	fr	Latn	46.0	1
mm	my	Mymr	64.0	1
mn	mn	Cyrl,Mong	93.0	1
mo	zh	Hans,Hant	100.0	1
mo	pt	Latn	5.0	1
mp	en	Latn	97.0	1
mq	fr	Latn	98.0	1
mr	ar	Arab	85.0	1
ms	en	Latn	97.0	1
mt	mt	Latn	100.0	1
mt	en	Latn	88.0	1
mu	en	Latn	72.0	1
mu	fr	Latn	3.0	1
mv	dv	Thaa	94.0	1
mw	ny	Latn	63.0	1
mw	en	Latn	63.0	1
mx	es	Latn	83.0	1
my	ms	Arab,Latn	75.0	1
mz	pt	Latn	27.0	1
na	af	Latn	75.0	1
na	en	Latn	7.0	1
nc	fr	Latn	96.0	1
ne	fr	Latn	29.0	1
nf	en	Latn	76.0	1
ng	en	Latn	75.0	1
ng	yo	Latn	13.0	1
ni	es	Latn	78.0	1
nl	nl	Latn	100.0	1
nl	fy	Latn	4.3	0
no	nb	Latn	100.0	1
no	nn	Latn	25.0	1
no	se	Cyrl	3.3	0
np	ne	Deva	44.0	1
nr	en	Latn	99.0	1
nr	na	Latn	73.0	1
nu	en	Latn	95.0	1
nu	niu	Latn	95.0	1
nz	en	Latn	91.0	1
nz	mi	Latn	2.5	1
om	ar	Arab	81.0	1
pa	es	Latn	69.0	1
pe	es	Latn	73.0	1
pe	qu	Latn	15.0	1
pf	fr	Latn	61.0	1
pf	ty	Latn	31.0	1
pg	tpi	Latn	71.0	1
pg	en	Latn	20.0	1
pg	ho	Latn	2.1	1
ph	en	Latn	64.0	1
ph	fil	Latn	60.0	1
ph	ceb	Latn	24.0	0
ph	ilo	Latn	9.6	0
ph	hil	Latn	8.4	0
ph	war	Latn	2.9	0
ph	pag	Latn	1.4	0
ph	mdh	Latn	1.2	0
ph	tsg	Latn	1.1	0
pk	ur	Arab	95.0	1
pk	en	Latn	50.0	1
pl	pl	Latn	96.0	1
pl	csb	Latn	0.13	0
pl	de	Runr	0.096	0
pl	lt	Latn	0.021	0
pm	fr	Latn	89.0	1
pn	en	Latn	96.0	1
pr	es	Latn	87.0	1
pr	en	Latn	49.0	1
ps	ar	Arab	100.0	1
pt	pt	Latn	96.0	1
pw	pau	Latn	74.0	1
pw	en	Latn	8.9	1
py	gn	Latn	80.0	1
py	es	Latn	3.2	1
qa	ar	Arab	89.0	1
re	fr	Latn	89.0	1
ro	ro	Latn	90.0	1
rs	sr	Cyrl,Latn	100.0	1
rs	hu	Latn	4.8	0
rs	ro	Cyrl	2.1	0
rs	hr	Latn	0.93	0
rs	sk	Latn	0.85	0
rs	uk	Cyrl	0.0	0
ru	ru	Cyrl	94.0	1
ru	tt	Cyrl	1.4	0
ru	ba	Cyrl	1.3	0
ru	ce	Cyrl	0.66	0
ru	av	Cyrl	0.39	0
ru	udm	Latn	0.38	0
ru	sah	Cyrl	0.32	0
ru	myv	Cyrl	0.31	0
ru	kbd	Cyrl	0.31	0
ru	mdf	Cyrl	0.21	0
ru	kum	Cyrl	0.2	0
ru	lez	Aghb	0.18	0
ru	kv	Perm	0.18	0
ru	inh	Arab,Latn	0.16	0
ru	krc	Cyrl	0.16	0
ru	tyv	Cyrl	0.13	0
ru	az	Arab,Cyrl,Latn	0.093	0
ru	ady	Cyrl	0.088	0
ru	lbe	Cyrl	0.078	0
ru	koi	Cyrl	0.045	0
rw	rw	Latn	77.0	1
rw	fr	Latn	0.019	1
rw	en	Latn	0.0024	1
sa	ar	Arab	100.0	1
sb	en	Latn	100.0	1
sc	fr	Latn	60.0	1
sc	en	Latn	4.5	1
sd	ar	Arab	61.0	1
sd	en	Latn	61.0	1
se	sv	Latn	95.0	1
se	fi	Latn	2.2	0
sg	en	Latn	93.0	1
sg	zh	Hans,Hant	77.0	1
sg	ms	Arab,Latn	14.0	1
sg	ta	Taml	2.1	1
sh	en	Latn	69.0	1
si	sl	Latn	87.0	1
sj	nb	Latn	80.0	1
sk	sk	Latn	90.0	1
sl	en	Latn	35.0	1
sm	it	Latn	89.0	1
sn	wo	Latn	70.0	1
sn	fr	Latn	39.0	1
so	so	Latn	78.0	1
so	ar	Arab	34.0	1
sr	nl	Latn	90.0	1
ss	en	Latn	27.0	1
st	pt	Latn	85.0	1
sv	es	Latn	89.0	1
sx	en	Latn	68.0	1
sx	nl	Latn	4.0	1
sy	ar	Arab	80.0	1
sy	fr	Latn	5.9	1
sz	en	Latn	80.0	1
sz	ss	Latn	58.0	1
ta	en	Dsrt,Shaw	99.0	0
tc	en	Latn	98.0	1
td	fr	Latn	26.0	1
td	ar	Arab	17.0	1
tf	fr	Dupl	100.0	0
tg	fr	Latn	61.0	1
th	th	Thai	80.0	1
tj	tg	Arab,Cyrl,Latn	100.0	1
tk	tkl	Latn	100.0	1
tk	en	Latn	100.0	1
tl	tet	Latn	59.0	1
tl	pt	Latn	59.0	1
tm	tk	Arab,Cyrl,Latn	70.0	1
tn	ar	Arab	90.0	1
tn	fr	Latn	74.0	1
to	to	Latn	95.0	1
to	en	Latn	28.0	1
tr	tr	Latn	93.0	1
tt	en	Latn	99.0	1
tv	tvl	Latn	92.0	1
tv	en	Latn	9.9	1
tw	zh	Hans,Hant	95.0	1
tz	sw	Latn	90.0	1
tz	en	Latn	69.0	1
ua	uk	Cyrl	65.0	1
ua	ru	Cyrl	46.0	1
ug	sw	Latn	75.0	1
ug	en	Latn	3.9	1
um	en	Latn	100.0	1
us	en	Latn	96.0	1
us	es	Latn	9.6	0
us	haw	Latn	0.0089	0
uy	es	Latn	88.0	1
uz	uz	Arab,Cyrl,Latn	100.0	1
va	it	Latn	98.0	0
vc	en	Latn	96.0	1
ve	es	Latn	82.0	1
vg	en	Latn	98.0	1
vi	en	Latn	75.0	1
vn	vi	Latn	86.0	1
vu	bi	Latn	90.0	1
vu	en	Latn	74.0	1
vu	fr	Latn	50.0	1
wf	fr	Latn	49.0	1
ws	sm	Latn	100.0	1
ws	en	Latn	2.2	1
xk	sq	Latn	92.0	1
xk	sr	Cyrl,Latn	10.0	1
ye	ar	Arab	74.0	1
yt	fr	Latn	57.0	1
za	en	Latn	55.0	1
za	zu	Latn	24.0	0
za	xh	Latn	18.0	0
za	af	Latn	13.0	0
za	nso	Latn	9.4	0
za	tn	Latn	8.2	0
za	st	Latn	7.9	0
za	ts	Latn	4.4	0
za	ss	Latn	2.7	0
za	ve	Latn	2.3	0
za	nr	Latn	1.6	0
zm	en	Latn	81.0	1
zw	en	Latn	91.0	1
zw	sn	Latn	81.0	1
zw	nd	Latn	12.0	1
